Time (s),x,y,z
3871.324,0.154940016,-0.32978544,0.456140062
3883.738,0.154962808,-0.3299919,0.458296555
3896.152,0.154894432,-0.32973956,0.456273798
3908.566,0.155190728,-0.32967074,0.454468362
3920.98,0.155008392,-0.32973956,0.45537108
3933.402,0.154940016,-0.3297625,0.455939458
3945.816,0.154894432,-0.3299919,0.458497159
3958.23,0.154689304,-0.33012954,0.460954558
3970.652,0.154598136,-0.33012954,0.461756974
3983.058,0.154734888,-0.33008366,0.460837539
3995.48,0.15452976,-0.33015248,0.462542673
4007.894,0.154347424,-0.33026718,0.46406392
4020.308,0.154666512,-0.32996896,0.460570067
4032.73,0.15475768,-0.32969368,0.456524553
4045.136,0.154666512,-0.32996896,0.458831499
4057.558,0.1544158,-0.3301066,0.461706823
4069.98,0.15452976,-0.33006072,0.461506219
4082.394,0.154575344,-0.33001484,0.460168859
4094.808,0.154461384,-0.33012954,0.461372483
4107.222,0.154393008,-0.33015248,0.462542673
4119.636,0.1544158,-0.3301066,0.462275201
4132.058,0.154324632,-0.33019836,0.46322807
4144.472,0.154256256,-0.33029012,0.464916487
4156.886,0.15430184,-0.3302213,0.464531996
4169.3,0.154575344,-0.3301066,0.462459088
4181.722,0.154575344,-0.3299919,0.46072052
4194.136,0.15464372,-0.32990014,0.459450028
4206.55,0.15487164,-0.32985426,0.457995649
4218.964,0.154962808,-0.3297625,0.457076214
4231.386,0.155031184,-0.32967074,0.455437948
4243.8,0.155122352,-0.32955604,0.453548927
4256.214,0.15509956,-0.32962486,0.454284475
4268.628,0.155190728,-0.32962486,0.454067154
4281.042,0.15509956,-0.32955604,0.453181153
4293.464,0.155076768,-0.32969368,0.454652249
4305.878,0.155236312,-0.32980838,0.455337646
4318.292,0.155053976,-0.32980838,0.456056477
4330.706,0.154940016,-0.3298772,0.457176516
4343.128,0.154734888,-0.32985426,0.457928781
4355.542,0.154689304,-0.32992308,0.459115688
4367.956,0.154712096,-0.32985426,0.45854731
4380.37,0.155008392,-0.32957898,0.454518513
4392.847,0.155031184,-0.32967074,0.454685683
4405.214,0.155145144,-0.3296478,0.454351343
4417.628,0.15487164,-0.32983132,0.456474402
4430.042,0.154962808,-0.32978544,0.455956175
4442.456,0.1549856,-0.32980838,0.456156779
4454.87,0.154734888,-0.32978544,0.456658289
